Type d'acte;Année;Arrondissement;Nombres
Reconnaissances;2009;18ème arrdt;1247
Mariage;2014;19ème arrdt;868
Reconnaissances;2008;3ème arrdt;141
Reconnaissances;2008;9ème arrdt;254
Naissance;2014;17ème arrdt;1569
Reconnaissances;2014;16ème arrdt;273
Décès;2013;3ème arrdt;49
Décès;2005;16ème arrdt;777
Mariages;2009;17ème arrdt;564
Mariages;2004;6ème arrdt;235
Décès;2004;1er arrdt;35
Naissances;2013;13ème arrdt;3593
Naissances;2012;8ème arrdt;1
Naissances;2011;15ème arrdt;5713
Naissances;2011;1er arrdt;1
Naissances;2010;18ème arrdt;2220
Naissances;2005;15ème arrdt;4563
Reconnaissances;2004;15ème arrdt;1080
Reconnaissances;2014;11ème arrdt;659
Décès;2010;8ème arrdt;100
Décès;2010;11ème arrdt;288
Décès;2006;8ème arrdt;128
Mariages;2013;13ème arrdt;703
Mariages;2011;8ème arrdt;207
Naissances;2006;1er arrdt;1
Reconnaissances;2013;4ème arrdt;98
Reconnaissances;2009;7ème arrdt;100
Reconnaissances;2014;2ème arrdt;109
Mariage;2014;3ème arrdt;261
Décès;2013;5ème arrdt;712
Mariages;2007;11ème arrdt;736
Naissances;2008;3ème arrdt;2
Naissances;2004;6ème arrdt;2
Reconnaissances;2013;18ème arrdt;1325
Reconnaissances;2014;6ème arrdt;86
Décès;2012;1er arrdt;27
Décès;2006;19ème arrdt;543
Naissances;2011;10ème arrdt;2440
Naissances;2011;2ème arrdt;1
Naissances;2011;5ème arrdt;3
Naissances;2008;13ème arrdt;3321
Reconnaissances;2013;15ème arrdt;841
Reconnaissances;2014;5ème arrdt;160
Reconnaissances;2006;13ème arrdt;1276
Décès;2011;7ème arrdt;170
Décès;2009;10ème arrdt;1382
Décès;2008;5ème arrdt;538
Décès;2004;19ème arrdt;452
Mariages;2012;10ème arrdt;373
Mariages;2010;13ème arrdt;642
Mariages;2010;1er arrdt;115
Mariages;2009;19ème arrdt;921
Mariages;2008;14ème arrdt;544
Mariages;2004;20ème arrdt;954
Naissances;2013;11ème arrdt;7
Naissances;2013;20ème arrdt;2786
Naissances;2012;19ème arrdt;3004
Décès;2009;11ème arrdt;290
Décès;2008;8ème arrdt;130
Décès;2007;20ème arrdt;1301
Mariages;2013;15ème arrdt;966
Mariages;2008;5ème arrdt;277
Mariages;2007;13ème arrdt;810
Mariages;2005;12ème arrdt;663
Naissances;2010;10ème arrdt;2563
Naissances;2009;9ème arrdt;4
Naissances;2007;8ème arrdt;2
Naissances;2005;6ème arrdt;0
Naissances;2004;9ème arrdt;3
Décès;2011;11ème arrdt;246
Mariages;2008;13ème arrdt;756
Décès;2014;7ème arrdt;145
Naissances;2009;10ème arrdt;2481
Décès;2006;9ème arrdt;106
Mariages;2013;16ème arrdt;762
Mariages;2008;1er arrdt;101
Mariages;2008;3ème arrdt;231
Naissances;2007;14ème arrdt;10199
Naissances;2004;14ème arrdt;10623
Reconnaissances;2008;10ème arrdt;606
Reconnaissances;2007;19ème arrdt;1107
Décès;2013;9ème arrdt;79
Mariages;2011;11ème arrdt;605
Mariages;2005;10ème arrdt;609
Naissances;2013;4ème arrdt;1
Reconnaissances;2012;17ème arrdt;558
Reconnaissances;2009;1er arrdt;66
Naissance;2014;15ème arrdt;5960
Mariage;2014;9ème arrdt;316
Mariage;2014;20ème arrdt;787
Naissances;2005;2ème arrdt;1
Reconnaissances;2010;17ème arrdt;645
Reconnaissances;2004;5ème arrdt;180
Reconnaissances;2004;13ème arrdt;1319
Décès;2012;16ème arrdt;948
Décès;2006;1er arrdt;39
Mariages;2010;10ème arrdt;423
Mariages;2008;20ème arrdt;756
Mariages;2004;14ème arrdt;661
Naissances;2010;5ème arrdt;3
Décès;2008;3ème arrdt;55
Décès;2007;4ème arrdt;333
Décès;2004;9ème arrdt;99
Naissances;2010;7ème arrdt;4
Naissances;2008;9ème arrdt;5
Naissances;2005;19ème arrdt;2711
Reconnaissances;2013;11ème arrdt;679
Naissance;2014;5ème arrdt;1
Reconnaissances;2014;14ème arrdt;775
Décès;2013;4ème arrdt;129
Décès;2010;13ème arrdt;2059
Décès;2006;15ème arrdt;3060
Naissances;2010;4ème arrdt;1
Reconnaissances;2012;6ème arrdt;66
Reconnaissances;2008;4ème arrdt;113
Naissance;2014;3ème arrdt;0
Mariages;2004;8ème arrdt;240
Naissances;2013;1er arrdt;0
Naissances;2012;16ème arrdt;1439
Décès;2013;1er arrdt;37
Naissances;2005;10ème arrdt;2123
Reconnaissances;2012;16ème arrdt;295
Reconnaissances;2011;15ème arrdt;874
Naissance;2014;4ème arrdt;1
Décès;2009;3ème arrdt;48
Naissances;2008;11ème arrdt;865
Naissances;2004;15ème arrdt;4321
Naissances;2004;11ème arrdt;2903
Reconnaissances;2012;13ème arrdt;953
Reconnaissances;2011;18ème arrdt;1216
Reconnaissances;2009;4ème arrdt;107
Reconnaissances;2005;1er arrdt;70
Naissance;2014;1er arrdt;0
Naissances;2007;4ème arrdt;4
Naissances;2005;17ème arrdt;2022
Reconnaissances;2011;13ème arrdt;928
Reconnaissances;2009;6ème arrdt;105
Mariage;2014;1er arrdt;124
Décès;2011;18ème arrdt;1362
Décès;2010;5ème arrdt;603
Décès;2008;10ème arrdt;1444
Décès;2005;3ème arrdt;61
Mariages;2007;6ème arrdt;228
Naissances;2012;13ème arrdt;3736
Décès;2013;8ème arrdt;94
Décès;2008;4ème arrdt;284
Mariages;2012;6ème arrdt;219
Mariages;2012;14ème arrdt;535
Mariages;2008;11ème arrdt;606
Mariages;2004;2ème arrdt;146
Naissances;2009;15ème arrdt;5210
Naissances;2009;19ème arrdt;3051
Naissances;2007;10ème arrdt;2248
Naissances;2005;1er arrdt;1
Naissance;2014;14ème arrdt;10673
Reconnaissances;2014;12ème arrdt;771
Mariage;2014;13ème arrdt;669
Décès;2009;8ème arrdt;116
Décès;2008;13ème arrdt;2006
Mariages;2013;17ème arrdt;526
Mariages;2007;12ème arrdt;513
Mariages;2007;18ème arrdt;943
Naissances;2013;6ème arrdt;0
Naissances;2010;2ème arrdt;0
Reconnaissances;2007;8ème arrdt;124
Reconnaissances;2007;15ème arrdt;831
Reconnaissances;2006;10ème arrdt;832
Mariages;2006;17ème arrdt;612
Naissances;2012;2ème arrdt;2
Décès;2011;3ème arrdt;53
Décès;2007;15ème arrdt;3184
Décès;2005;17ème arrdt;354
Décès;2004;13ème arrdt;1851
Mariages;2011;20ème arrdt;597
Reconnaissances;2012;19ème arrdt;1079
Reconnaissances;2014;3ème arrdt;135
Mariage;2014;16ème arrdt;796
Naissances;2005;16ème arrdt;1255
Reconnaissances;2008;2ème arrdt;89
Reconnaissances;2004;2ème arrdt;147
Reconnaissances;2004;16ème arrdt;522
Reconnaissances;2004;9ème arrdt;339
Décès;2011;8ème arrdt;108
Mariages;2005;1er arrdt;115
Naissances;2012;15ème arrdt;5379
Naissances;2012;10ème arrdt;2475
Décès;2012;18ème arrdt;1385
Décès;2007;18ème arrdt;1545
Décès;2005;5ème arrdt;612
Mariages;2005;9ème arrdt;338
Reconnaissances;2005;9ème arrdt;296
Décès;2009;7ème arrdt;192
Mariages;2012;9ème arrdt;238
Mariages;2009;1er arrdt;99
Naissances;2013;14ème arrdt;10279
Reconnaissances;2012;11ème arrdt;752
Naissance;2014;12ème arrdt;9432
Reconnaissances;2014;10ème arrdt;482
Décès;2014;16ème arrdt;954
Décès;2010;9ème arrdt;86
Décès;2004;20ème arrdt;1318
Mariages;2007;17ème arrdt;557
Naissances;2005;20ème arrdt;2281
Reconnaissances;2013;19ème arrdt;1050
Reconnaissances;2010;20ème arrdt;1080
Reconnaissances;2008;6ème arrdt;85
Reconnaissances;2006;20ème arrdt;1161
Reconnaissances;2014;13ème arrdt;995
Mariage;2014;17ème arrdt;557
Décès;2014;3ème arrdt;51
Mariages;2010;16ème arrdt;747
Mariages;2006;18ème arrdt;1079
Naissances;2009;3ème arrdt;5
Naissances;2008;1er arrdt;4
Naissances;2005;7ème arrdt;3
Reconnaissances;2009;17ème arrdt;607
Reconnaissances;2005;18ème arrdt;2170
Reconnaissances;2004;8ème arrdt;140
Reconnaissances;2012;18ème arrdt;1200
Reconnaissances;2009;12ème arrdt;792
Reconnaissances;2008;12ème arrdt;865
Décès;2014;9ème arrdt;104
Décès;2009;17ème arrdt;359
Mariages;2006;1er arrdt;120
Naissances;2013;18ème arrdt;2202
Naissances;2010;13ème arrdt;3264
Mariages;2013;8ème arrdt;212
Mariages;2005;7ème arrdt;284
Naissances;2010;9ème arrdt;1
Reconnaissances;2006;2ème arrdt;101
Reconnaissances;2004;4ème arrdt;144
Mariage;2014;7ème arrdt;287
Décès;2014;15ème arrdt;3415
Décès;2013;6ème arrdt;112
Décès;2009;6ème arrdt;104
Décès;2008;15ème arrdt;3397
Décès;2007;19ème arrdt;455
Décès;2006;18ème arrdt;1527
Mariages;2006;11ème arrdt;734
Mariages;2004;5ème arrdt;336
Naissances;2008;12ème arrdt;10831
Naissances;2004;1er arrdt;7
Reconnaissances;2013;3ème arrdt;141
Reconnaissances;2012;7ème arrdt;87
Reconnaissances;2010;6ème arrdt;91
Reconnaissances;2010;5ème arrdt;149
Reconnaissances;2009;13ème arrdt;922
Mariage;2014;4ème arrdt;146
Mariages;2005;13ème arrdt;866
Naissances;2004;12ème arrdt;8092
Reconnaissances;2013;1er arrdt;54
Reconnaissances;2010;4ème arrdt;104
Reconnaissances;2006;6ème arrdt;109
Reconnaissances;2005;5ème arrdt;192
Reconnaissances;2004;19ème arrdt;1579
Reconnaissances;2014;19ème arrdt;1041
Naissances;2013;2ème arrdt;0
Naissances;2012;6ème arrdt;0
Naissances;2010;19ème arrdt;2860
Reconnaissances;2009;10ème arrdt;657
Naissances;2006;15ème arrdt;4787
Naissances;2006;19ème arrdt;3077
Naissances;2004;7ème arrdt;0
Décès;2011;2ème arrdt;32
Décès;2009;9ème arrdt;91
Décès;2004;14ème arrdt;2086
Mariages;2013;14ème arrdt;593
Mariages;2009;9ème arrdt;295
Naissances;2013;17ème arrdt;1524
Naissances;2011;4ème arrdt;0
Naissances;2011;12ème arrdt;9551
Décès;2011;6ème arrdt;96
Décès;2008;19ème arrdt;488
Décès;2008;2ème arrdt;39
Décès;2007;5ème arrdt;572
Décès;2007;10ème arrdt;1454
Décès;2006;13ème arrdt;1864
Mariages;2008;9ème arrdt;293
Mariages;2007;10ème arrdt;442
Mariages;2006;9ème arrdt;355
Mariages;2006;5ème arrdt;289
Naissances;2010;17ème arrdt;1586
Naissances;2008;6ème arrdt;0
Naissances;2006;17ème arrdt;2047
Décès;2014;14ème arrdt;1962
Décès;2010;18ème arrdt;1392
Décès;2007;14ème arrdt;1751
Décès;2006;16ème arrdt;859
Décès;2004;4ème arrdt;317
Décès;2004;2ème arrdt;53
Mariages;2012;17ème arrdt;503
Mariages;2011;9ème arrdt;252
Mariages;2010;4ème arrdt;126
Mariages;2010;19ème arrdt;932
Mariages;2005;17ème arrdt;602
Naissances;2008;10ème arrdt;2334
Reconnaissances;2011;3ème arrdt;164
Reconnaissances;2008;15ème arrdt;867
Décès;2011;17ème arrdt;389
Naissances;2007;15ème arrdt;4773
Reconnaissances;2009;8ème arrdt;106
Reconnaissances;2009;16ème arrdt;308
Mariage;2014;6ème arrdt;201
Décès;2006;20ème arrdt;1302
Décès;2005;8ème arrdt;121
Mariages;2013;7ème arrdt;244
Mariages;2007;15ème arrdt;958
Naissances;2008;18ème arrdt;2323
Reconnaissances;2011;14ème arrdt;712
Naissance;2014;16ème arrdt;1319
Naissances;2006;11ème arrdt;2769
Reconnaissances;2007;2ème arrdt;110
Reconnaissances;2006;8ème arrdt;124
Décès;2014;1er arrdt;26
Décès;2014;2ème arrdt;18
Décès;2006;12ème arrdt;1511
Décès;2005;15ème arrdt;2744
Mariages;2005;6ème arrdt;238
Décès;2012;2ème arrdt;26
Mariages;2013;6ème arrdt;199
Naissances;2005;5ème arrdt;3
Reconnaissances;2008;11ème arrdt;761
Reconnaissances;2007;20ème arrdt;1052
Reconnaissances;2005;7ème arrdt;130
Reconnaissances;2005;20ème arrdt;1194
Mariage;2014;11ème arrdt;742
Décès;2005;2ème arrdt;46
Décès;2004;8ème arrdt;146
Mariages;2013;5ème arrdt;262
Mariages;2008;10ème arrdt;411
Mariages;2005;19ème arrdt;1154
Reconnaissances;2010;18ème arrdt;1297
Reconnaissances;2014;7ème arrdt;83
Décès;2012;11ème arrdt;273
Décès;2010;17ème arrdt;390
Naissances;2007;6ème arrdt;1
Reconnaissances;2012;1er arrdt;62
Reconnaissances;2011;1er arrdt;48
Reconnaissances;2007;10ème arrdt;685
Mariage;2014;18ème arrdt;804
Décès;2007;3ème arrdt;55
Décès;2007;11ème arrdt;306
Mariages;2007;19ème arrdt;924
Naissances;2012;20ème arrdt;2518
Naissances;2006;6ème arrdt;4
Naissances;2004;5ème arrdt;6
Reconnaissances;2008;5ème arrdt;162
Reconnaissances;2007;16ème arrdt;311
Reconnaissances;2004;11ème arrdt;1496
Reconnaissances;2012;15ème arrdt;874
Reconnaissances;2008;17ème arrdt;583
Reconnaissances;2007;6ème arrdt;72
Décès;2010;6ème arrdt;114
Décès;2005;20ème arrdt;1363
Mariages;2012;20ème arrdt;727
Mariages;2011;6ème arrdt;194
Mariages;2011;1er arrdt;98
Naissances;2012;5ème arrdt;3
Naissances;2009;11ème arrdt;1255
Naissances;2005;11ème arrdt;2776
Reconnaissances;2009;15ème arrdt;859
Reconnaissances;2006;18ème arrdt;1838
Mariages;2012;4ème arrdt;121
Mariages;2012;16ème arrdt;763
Mariages;2009;18ème arrdt;756
Mariages;2008;7ème arrdt;271
Naissances;2011;19ème arrdt;3014
Naissances;2008;20ème arrdt;2316
Naissances;2007;17ème arrdt;1823
Naissances;2007;12ème arrdt;9898
Reconnaissances;2013;7ème arrdt;91
Reconnaissances;2010;10ème arrdt;546
Reconnaissances;2010;15ème arrdt;853
Reconnaissances;2004;20ème arrdt;1115
Mariages;2005;5ème arrdt;290
Naissances;2013;8ème arrdt;1
Naissances;2013;12ème arrdt;9157
Naissances;2011;13ème arrdt;3334
Décès;2011;15ème arrdt;3261
Décès;2010;4ème arrdt;295
Décès;2009;1er arrdt;39
Décès;2006;2ème arrdt;42
Mariages;2011;12ème arrdt;527
Mariages;2009;5ème arrdt;293
Reconnaissances;2008;14ème arrdt;746
Décès;2011;19ème arrdt;955
Mariages;2006;13ème arrdt;851
Mariages;2005;3ème arrdt;251
Naissances;2013;16ème arrdt;1390
Reconnaissances;2011;6ème arrdt;84
Reconnaissances;2011;17ème arrdt;600
Reconnaissances;2011;9ème arrdt;259
Reconnaissances;2007;3ème arrdt;165
Reconnaissances;2005;15ème arrdt;1165
Reconnaissances;2004;10ème arrdt;897
Naissance;2014;10ème arrdt;2679
Reconnaissances;2014;9ème arrdt;238
Reconnaissances;2014;15ème arrdt;834
Naissances;2008;17ème arrdt;1703
Naissances;2004;8ème arrdt;5
Reconnaissances;2012;10ème arrdt;514
Reconnaissances;2006;15ème arrdt;1059
Mariage;2014;14ème arrdt;561
Décès;2010;7ème arrdt;163
Décès;2006;7ème arrdt;173
Mariages;2012;7ème arrdt;239
Mariages;2006;10ème arrdt;548
Naissances;2009;17ème arrdt;1510
Décès;2009;14ème arrdt;1916
Naissances;2011;11ème arrdt;1729
Reconnaissances;2005;16ème arrdt;498
Mariage;2014;2ème arrdt;150
Décès;2014;12ème arrdt;1577
Décès;2012;6ème arrdt;105
Décès;2010;15ème arrdt;3280
Décès;2008;14ème arrdt;1802
Décès;2005;11ème arrdt;301
Mariages;2013;19ème arrdt;851
Mariages;2010;12ème arrdt;544
Mariages;2005;8ème arrdt;220
Naissances;2013;10ème arrdt;2339
Reconnaissances;2013;5ème arrdt;148
Naissance;2014;6ème arrdt;1
Mariages;2006;4ème arrdt;128
Mariages;2004;1er arrdt;121
Naissances;2012;1er arrdt;1
Décès;2010;16ème arrdt;1004
Décès;2006;3ème arrdt;44
Mariages;2009;8ème arrdt;243
Naissances;2004;16ème arrdt;1415
Reconnaissances;2013;6ème arrdt;93
Reconnaissances;2004;3ème arrdt;191
Naissance;2014;13ème arrdt;3427
Décès;2008;16ème arrdt;950
Décès;2008;7ème arrdt;224
Mariages;2008;6ème arrdt;219
Naissances;2006;4ème arrdt;5
Reconnaissances;2007;14ème arrdt;710
Naissance;2014;18ème arrdt;2196
Naissances;2008;8ème arrdt;2
Reconnaissances;2014;17ème arrdt;586
Décès;2009;12ème arrdt;1558
Mariages;2010;20ème arrdt;699
Mariages;2009;4ème arrdt;128
Naissances;2010;11ème arrdt;1847
Naissances;2009;16ème arrdt;1395
Décès;2011;13ème arrdt;2184
Décès;2011;20ème arrdt;1111
Naissances;2008;14ème arrdt;9961
Naissances;2007;2ème arrdt;3
Décès;2012;20ème arrdt;1146
Décès;2008;9ème arrdt;85
Décès;2004;16ème arrdt;711
Décès;2004;12ème arrdt;1529
Mariages;2007;5ème arrdt;279
Reconnaissances;2012;20ème arrdt;929
Reconnaissances;2009;14ème arrdt;702
Reconnaissances;2005;13ème arrdt;1447
Mariages;2006;19ème arrdt;1003
Naissances;2011;17ème arrdt;1631
Naissances;2010;20ème arrdt;2471
Décès;2011;4ème arrdt;279
Décès;2011;16ème arrdt;920
Décès;2007;16ème arrdt;906
Décès;2007;7ème arrdt;210
Décès;2006;14ème arrdt;1831
Mariages;2012;19ème arrdt;933
Mariages;2011;2ème arrdt;107
Mariages;2010;3ème arrdt;174
Reconnaissances;2010;16ème arrdt;293
Reconnaissances;2008;13ème arrdt;1003
Décès;2012;9ème arrdt;87
Décès;2009;5ème arrdt;569
Mariages;2011;14ème arrdt;533
Reconnaissances;2013;14ème arrdt;752
Reconnaissances;2010;8ème arrdt;125
Reconnaissances;2013;20ème arrdt;993
Reconnaissances;2012;5ème arrdt;131
Reconnaissances;2009;3ème arrdt;138
Mariage;2014;12ème arrdt;625
Décès;2014;5ème arrdt;666
Décès;2014;19ème arrdt;1138
Décès;2013;7ème arrdt;186
Décès;2013;12ème arrdt;1625
Mariages;2013;10ème arrdt;448
Mariages;2004;3ème arrdt;250
Décès;2012;10ème arrdt;1370
Décès;2008;6ème arrdt;97
Décès;2007;2ème arrdt;42
Décès;2005;13ème arrdt;1956
Mariages;2006;16ème arrdt;809
Mariages;2005;11ème arrdt;786
Mariages;2004;18ème arrdt;992
Naissances;2013;3ème arrdt;0
Naissances;2006;18ème arrdt;2137
Reconnaissances;2011;4ème arrdt;110
Reconnaissances;2007;9ème arrdt;285
Reconnaissances;2006;4ème arrdt;124
Décès;2010;20ème arrdt;1166
Décès;2004;17ème arrdt;339
Mariages;2010;9ème arrdt;275
Mariages;2007;14ème arrdt;516
Naissances;2011;8ème arrdt;3
Naissances;2004;2ème arrdt;1
Reconnaissances;2009;9ème arrdt;250
Reconnaissances;2007;1er arrdt;61
Naissances;2011;14ème arrdt;9804
Mariages;2008;16ème arrdt;749
Naissances;2007;11ème arrdt;1144
Reconnaissances;2013;17ème arrdt;541
Reconnaissances;2012;3ème arrdt;109
Reconnaissances;2014;1er arrdt;64
Décès;2014;18ème arrdt;1370
Décès;2004;11ème arrdt;368
Mariages;2012;12ème arrdt;538
Mariages;2012;1er arrdt;97
Mariages;2006;20ème arrdt;879
Naissances;2009;5ème arrdt;2
Naissances;2004;17ème arrdt;2226
Reconnaissances;2006;12ème arrdt;1474
Naissances;2006;8ème arrdt;3
Reconnaissances;2005;17ème arrdt;866
Naissance;2014;11ème arrdt;10
Décès;2013;15ème arrdt;3316
Mariages;2009;14ème arrdt;585
Mariages;2007;2ème arrdt;141
Mariages;2007;1er arrdt;105
Mariages;2006;14ème arrdt;579
Mariages;2011;15ème arrdt;887
Mariages;2011;3ème arrdt;175
Mariages;2004;7ème arrdt;308
Naissances;2006;14ème arrdt;10429
Naissances;2005;12ème arrdt;7762
Reconnaissances;2013;10ème arrdt;507
Reconnaissances;2007;11ème arrdt;783
Reconnaissances;2006;14ème arrdt;933
Décès;2004;10ème arrdt;1283
Mariages;2013;11ème arrdt;708
Mariages;2011;4ème arrdt;120
Mariages;2007;16ème arrdt;777
Naissances;2012;7ème arrdt;1
Naissances;2011;18ème arrdt;2291
Naissances;2010;6ème arrdt;1
Naissances;2009;14ème arrdt;10206
Naissances;2007;19ème arrdt;2928
Naissances;2005;4ème arrdt;0
Reconnaissances;2012;2ème arrdt;106
Reconnaissances;2011;20ème arrdt;1055
Reconnaissances;2006;17ème arrdt;763
Reconnaissances;2004;14ème arrdt;1157
Mariages;2004;11ème arrdt;747
Naissances;2012;17ème arrdt;1596
Décès;2011;10ème arrdt;1372
Décès;2006;6ème arrdt;128
Décès;2005;19ème arrdt;463
Mariages;2009;3ème arrdt;195
Naissances;2007;7ème arrdt;1
Reconnaissances;2009;19ème arrdt;1185
Reconnaissances;2007;4ème arrdt;100
Naissance;2014;19ème arrdt;3050
Mariages;2005;4ème arrdt;133
Naissances;2009;7ème arrdt;3
Naissances;2004;3ème arrdt;4
Naissances;2004;19ème arrdt;2649
Reconnaissances;2011;2ème arrdt;116
Reconnaissances;2004;7ème arrdt;154
Naissances;2007;5ème arrdt;2
Décès;2012;3ème arrdt;65
Décès;2005;9ème arrdt;125
Mariages;2013;20ème arrdt;733
Mariages;2010;7ème arrdt;259
Mariages;2010;11ème arrdt;584
Mariages;2007;4ème arrdt;161
Mariages;2007;3ème arrdt;216
Naissances;2011;3ème arrdt;5
Naissances;2009;20ème arrdt;2279
Décès;2013;2ème arrdt;33
Décès;2012;19ème arrdt;971
Décès;2010;1er arrdt;43
Décès;2009;15ème arrdt;3336
Décès;2008;11ème arrdt;302
Mariages;2006;12ème arrdt;591
Naissances;2011;6ème arrdt;1
Naissances;2007;13ème arrdt;3288
Reconnaissances;2008;19ème arrdt;1074
Reconnaissances;2005;2ème arrdt;115
Décès;2007;9ème arrdt;93
Mariages;2013;12ème arrdt;550
Mariages;2011;5ème arrdt;300
Naissances;2006;9ème arrdt;3
Reconnaissances;2006;19ème arrdt;1579
Reconnaissances;2014;20ème arrdt;980
Naissances;2010;8ème arrdt;2
Mariages;2007;9ème arrdt;326
Reconnaissances;2012;12ème arrdt;774
Reconnaissances;2010;9ème arrdt;251
Reconnaissances;2008;20ème arrdt;1020
Reconnaissances;2005;11ème arrdt;1445
Décès;2014;8ème arrdt;83
Décès;2007;6ème arrdt;120
